Produto,Preço,Marca,Capacidade
Placa De Vídeo Amd Radeon R7 240 4gb Ddr5 128 Bits Pcyes,439.59,AMD,4GB
Kingster Placa De Vídeo Nvidia Geforce 600 Gt610 2gb Ddr3,189.0,NVIDIA,2GB
Placa De Vídeo Radeon Gamer Amd Rx550 Gddr5 4g Dvi Hdmi Dp,456.0,AMD,Não informado
Placa De Vídeo Nvidia Ge Force Gt610 2gb Ddr3 Hdmi Vga Dvi,152.0,NVIDIA,2GB
Placa De Vídeo Amd Radeon Rx 550 4gb Gddr5 128 Bits Revenger,460.0,AMD,4GB
Placa de vídeo RTX 3060 12GB GALAX,2599.0,Desconhecida,12GB
Placa De Vídeo Evolut Geforce Gt610 2gb Ddr3 Dvi/hdmi/vga,254.63,Geforce,2GB
Placa De Vídeo Geforce Gt730 4gb Ddr3 128 Bit Evolut Hdmi,422.32,Geforce,4GB
Placa De Vídeo Pcyes Radeon Rx 550 4gb Gddr5 Hdmi/dp/dvi,629.1,Desconhecida,4GB
Placa De Vídeo Vxpro Nvidia Geforce Gt 730 4gb Ddr3 128bit,285.0,NVIDIA,4GB
Placa De Vídeo Rtx 4060 8gb Python Ii Gddrd6 128b Gainward,2759.0,Desconhecida,8GB
Placa de vídeo AMD Afox  Radeon R5 Series R5 220 AFR5220-2048D3L9-V2 2GB,189.0,AMD,2GB
Placa De Vídeo Gamer Amd Radeon Rx580 Gddr5 8g Hdmi Dp,819.0,AMD,Não informado
Placa de vídeo AMD Afox  Radeon R5 200 Series R5 220 AFR5220-2048D3L5-V2 2GB,189.0,AMD,2GB
Placa de vídeo Nvidia Kingster  2019 GeForce 200 Series GT 210 PA210G6401D3LP 1GB,149.0,NVIDIA,1GB
Placa de vídeo AMD Radeon RX 580 8GB DDR5 256 BIT 2048SP,815.0,AMD,8GB
Placa De Vídeo Gamer Jogos Geforce G730 Nvidia 4gb Ddr3,350.0,NVIDIA,4GB
Placa De Video Msi Geforce Rtx 3050 Gaming X 6gb Gddr6 92bit,1435.0,MSI,6GB
Placa De Vídeo Nvidia Ddr3 2gb Gt610 Lp Vx Pro,230.8,NVIDIA,2GB
Placa De Vídeo Revenger Nvidiagtx 1660 6gb Gddr6 Super,1399.0,NVIDIA,6GB
Placa De Vídeo Revenger 4gb Ddr5 128 Bits Alta Definição,790.0,Desconhecida,4GB
Placa Video 8gb Rtx4060 Asus Dual-rtx4060-o8g-evo,2720.0,ASUS,8GB
Placa Vídeo Gt740 Geforce Gddr5 4g Clock 5000mhz 3d Vision,410.0,Geforce,Não informado
Placa De Vídeo Afox Amd Radeon Rx 550 4gb Gddr5 128 Bits,463.4,AMD,4GB
Placa De Video 730GT 2GB VXPRO 2gb Ddr3 Vxgt730lp-2gd3-a,295.0,Desconhecida,2GB
Placa de vídeo RTX 3060 GeForce Nvidia Gainward Ghost RTX 30 Series NE63060019K9-190AU 12GB,2975.0,NVIDIA,12GB
Placa De Vídeo Pcyes Geforce Gt 1030 2gb Ddr5 Hdmi/dvi,580.9,Geforce,2GB
Placa De Vídeo Geforce Gt 740 4gb Gddr5 Bluecase Nvidia,498.28,NVIDIA,4GB
Placa de vídeo Nvidia Asus  Dual GeForce RTX 30 Series RTX 3060 DUAL-RTX3060-O12G-V2 OC Edition 12GB,2879.0,NVIDIA,12GB
Placa de vídeo Nvidia  Quadro Series P400 2GB,789.0,NVIDIA,2GB
Placa gráfica Asrock Amd Radeon Rx6600 Challenger White de 8 GB,1807.0,AMD,8 GB
Placa de vídeo AMD Revenger  Rx 500 Séries Radeon RX 500 Series G-RX580-8G 8GB,829.0,AMD,8GB
Placa De Vídeo Galax Nvidia Geforce Rtx 3050 Ex Oc 6gb Gddr6,1572.0,NVIDIA,6GB
Placa De Vídeo Gt 210 1gb Ddr3 Bluecase Pci-e 16x,159.99,Desconhecida,1GB
Placa De Vídeo Vxpro Nvidia Geforce Gtx 750 Ti 4gb Gddr5,561.21,NVIDIA,4GB
Placa de vídeo Nvidia MSI  Ventus XS GeForce GTX 16 Series GTX 1650 GEFORCE GTX 1650 D6 VENTUS XS OC OC Edition 4GB,1148.0,NVIDIA,4GB
Placa De Vídeo Vxpro Nvidia Geforce Gt 610 2gb Ddr3 64bit,199.9,NVIDIA,2GB
Placa de vídeo Nvidia Pcyes  GeForce 200 Series G210 PA210G6401D3LP 1GB,172.55,NVIDIA,1GB
Placa De Vídeo Rtx 4070 Msi Ventus E1 12gb 3x Oc 192 Bits,6200.0,MSI,12GB
Placa De Video Gamer Nvidia Geforce Gtx750 Gddr5 4gb 128bits,569.0,NVIDIA,4GB
Placa de vídeo AMD Pcyes  Radeon R7 200 Series R7 240 PJ240R71284GD5 4GB,350.41,AMD,4GB
Placa de vídeo Nvidia Duex  GeForce 700 Series GT 730 GT730LP-4GD3-C 4GB,349.0,NVIDIA,4GB
Placa de vídeo Nvidia Pcyes  GeForce 500 Series GTX 550 Ti PV55TX1GD5128DF 1GB,349.0,NVIDIA,1GB
Placa De Vídeo Geforce Gtx 550ti 4gb Ddr5 128bits Revenger,474.0,Geforce,4GB
Placa de vídeo Nvidia Knup  GeForce 200 Series GT 210 KP-GT210 1GB,129.0,NVIDIA,1GB
Placa De Vídeo Nvidia Geforce Gtx 550ti 2gb Ddr5 128bits,296.0,NVIDIA,2GB
Placa De Vídeo Brx Geforce Gt 740 4gb Ddr5 128bit Hdmi Vga,554.76,Geforce,4GB
Placa de vídeo Nvidia PNY Quadro Series T400 VCNT4004GB-PB 4GB,1420.0,NVIDIA,4004GB
Placa De Video Amd Radeon Rx560 4gb 128bits Gddr5 Hdmi Gamer,595.0,AMD,4GB
Placa De Vídeo Inno3d Nvidia Twin X2 Rtx 4070 12g Gddr6 192b,5002.0,NVIDIA,Não informado
